id	pr_gene_symbol	MDAMB231-ctl_vehicle-16149	MDAMB231-ctl_vehicle-16150	MDAMB231-ctl_vehicle-16151	MDAMB231-trt_cp-16152	MDAMB231-trt_cp-16153	MDAMB231-trt_cp-16154	MDAMB231-trt_cp-16155	MDAMB231-trt_cp-16156	
202689_at	RBM15B	P	P	P	P	P	M	P	P	
218744_s_at	PACSIN3	P	M	P	P	M	F	P	P	
201519_at	TOMM70A	P	P	P	P	P	M	P	P	
209213_at	CBR1	P	P	P	P	P	P	P	P	
211783_s_at	MTA1	P	P	P	P	P	P	P	P	
208634_s_at	MACF1	P	P	P	P	P	P	P	P	
202545_at	PRKCD	P	P	P	P	P	F	P	P	
205899_at	CCNA1	P	F	M	M	F	F	P	M	
212740_at	PIK3R4	M	M	P	P	F	F	F	P	
202332_at	CSNK1E	P	P	P	P	P	M	P	P	
209806_at	HIST1H2BK	P	P	P	P	P	P	P	P	
201466_s_at	JUN	P	P	P	P	P	F	P	P	
212694_s_at	PCCB	P	P	P	P	P	M	P	P	
221610_s_at	STAP2	P	M	P	P	F	F	P	P	
217766_s_at	TMEM50A	P	P	P	P	P	M	P	P	
203201_at	PMM2	P	P	P	P	P	M	P	P	
201825_s_at	SCCPDH	P	P	P	P	P	P	P	P	
217989_at	HSD17B11	P	P	P	P	P	M	P	P	
208763_s_at	TSC22D3	M	M	M	P	F	F	M	P	
220127_s_at	FBXL12	P	P	P	P	P	F	P	P	
204654_s_at	TFAP2A	P	P	P	P	M	F	P	P	
221531_at	WDR61	M	M	M	P	M	F	P	P	
218149_s_at	ZNF395	P	P	P	P	P	M	P	P	
204781_s_at	FAS	F	F	P	F	F	F	M	F	
202261_at	VPS72	P	M	P	P	M	F	P	P	
205046_at	CENPE	P	P	P	P	P	M	P	P	
201561_s_at	CLSTN1	P	P	P	P	P	P	P	P	
201200_at	CREG1	P	P	P	P	P	P	P	P	
203218_at	MAPK9	P	P	P	P	P	P	P	P	
219742_at	PRR7	M	F	M	P	M	F	M	P	
200711_s_at	SKP1	P	P	P	P	P	F	P	P	
202868_s_at	POP4	P	P	P	P	P	M	P	P	
