id	pr_gene_symbol	MDAMB231-ctl_vehicle-16149	MDAMB231-ctl_vehicle-16150	MDAMB231-ctl_vehicle-16151	MDAMB231-trt_cp-16152	MDAMB231-trt_cp-16153	MDAMB231-trt_cp-16154	MDAMB231-trt_cp-16155	MDAMB231-trt_cp-16156
216910_at	XPNPEP2	6.1072	5.7094	5.6487	6.0160	6.3340	5.7437	6.8437	6.9003
220020_at	XPNPEP3	6.7333	6.1561	6.3725	6.0898	5.8722	6.7819	6.3507	6.9084
208775_at	XPO1	11.2591	10.6811	11.3701	10.4032	11.0071	11.1569	11.2266	9.8404
218479_s_at	XPO4	8.0686	7.1434	7.4842	7.7354	7.7241	7.9013	7.8384	7.9713
211982_x_at	XPO6	9.2177	9.5174	9.3130	9.3415	8.9766	9.1221	9.6384	8.8065
214784_x_at	XPO6	8.8613	9.2369	9.1894	9.3191	9.1723	9.2834	9.5045	8.6335
208459_s_at	XPO7	8.0361	8.4748	8.0981	8.5295	8.1779	8.0891	8.4965	7.8302
212160_at	XPOT	9.6626	9.9778	9.9162	10.3003	10.2396	9.8573	10.1926	10.8447
203655_at	XRCC1	7.5395	7.4747	7.5483	7.6019	7.4989	7.4439	7.4049	7.2286
207598_x_at	XRCC2	7.4042	6.5022	7.2957	7.0660	6.5871	6.7232	7.4253	7.8786
216299_s_at	XRCC3	7.0863	6.6969	7.1434	6.9453	6.8347	7.4143	6.6989	7.3180
205071_x_at	XRCC4	6.7893	7.4768	6.7755	7.4545	7.2241	7.5954	6.9616	7.4842
205072_s_at	XRCC4	6.5889	6.3444	6.3887	6.4862	6.5151	7.1248	6.4691	6.8796
210812_at	XRCC4	5.8784	5.5078	5.8059	5.5566	5.7603	6.1082	5.8391	6.0088
210813_s_at	XRCC4	6.8237	7.0308	6.5876	7.1658	7.1640	7.4333	6.9886	7.5204
208642_s_at	XRCC5	10.2544	10.8172	11.0504	11.0731	10.5837	10.2180	10.6520	10.3375
208643_s_at	XRCC5	10.8660	10.6518	11.0023	10.8112	10.7716	10.4068	10.5866	10.1807
200792_at	XRCC6	12.7410	11.6876	12.6391	12.4346	12.6244	12.5672	12.3473	12.3825
215308_at	XRCC6	5.4985	5.1581	5.2151	5.1153	4.9039	5.3447	5.1456	5.5035
208317_at	XYLB	5.2026	5.2437	5.0007	4.8623	4.9295	5.1865	4.8691	5.1399
208318_s_at	XYLB	5.4855	5.5823	5.2737	5.6551	5.2354	5.8738	5.3248	5.2087
214776_x_at	XYLB	5.3125	5.6906	5.2903	5.0840	5.1812	5.3595	5.1829	5.4714
213725_x_at	XYLT1	4.4240	4.3124	5.4708	4.9089	4.2547	3.5905	4.4152	4.8427
219401_at	XYLT2	6.8332	7.3689	6.9063	7.2144	7.5121	7.7047	6.9451	6.6534
206238_s_at	YAF2	6.3928	6.1270	6.3886	6.6437	6.7385	6.2638	5.9257	6.2459
213342_at	YAP1	8.7239	8.5720	7.6142	8.1843	7.9641	8.3163	8.8689	9.5781
212048_s_at	YARS	10.6652	10.4892	10.5634	10.9199	11.0204	10.4951	11.5693	11.1963
218470_at	YARS2	9.6006	9.3460	9.2555	9.7033	9.4675	9.7087	9.3496	9.5809
208627_s_at	YBX1	13.2628	12.5080	13.0500	13.2480	12.7202	10.8392	12.4705	13.0141
208628_s_at	YBX1	12.1850	12.1552	12.4294	11.9479	11.8827	10.3073	11.4994	11.6832
219704_at	YBX2	4.6970	5.2073	4.9028	4.0811	4.1211	4.7611	4.5970	4.5341
221203_s_at	YEATS2	8.1019	7.8470	7.6699	8.5142	8.0057	8.1205	7.8864	8.0235
218911_at	YEATS4	9.0305	8.9441	8.5205	9.0729	9.2608	8.7980	8.5185	8.4244
202932_at	YES1	8.6109	9.1882	7.8235	7.8581	8.4734	8.7347	8.8789	9.0437
202933_s_at	YES1	9.6043	9.6478	8.7380	9.0761	9.2717	9.5760	9.6070	10.0524
210917_at	YES1	5.1285	5.0629	4.8313	4.7022	4.7421	5.0057	4.9091	5.2698
202418_at	YIF1A	9.3808	8.4938	9.1563	8.6281	9.6614	9.2152	8.0901	8.9478
220207_at	YIF1B	6.2367	6.4223	6.2640	6.2324	6.5293	6.7009	6.3503	6.5561
214733_s_at	YIPF1	7.3019	6.9320	7.3118	7.2158	7.9133	7.6265	7.1777	8.0175
219075_at	YIPF2	6.7150	6.8506	6.7874	6.4458	6.6333	7.1878	6.2130	7.0221
221939_at	YIPF2	7.7413	8.1197	7.9144	8.0884	7.8852	8.5279	7.5900	8.3625
65086_at	YIPF2	7.2446	7.2757	7.0913	7.0499	6.9599	7.4605	7.1696	7.7027
216338_s_at	YIPF3	10.5799	10.7688	10.1461	10.5468	10.0789	10.1293	10.7717	11.1560
209551_at	YIPF4	6.8052	6.5998	6.8686	6.6192	6.5671	6.8621	7.0031	7.2292
213999_at	YIPF4	6.4513	6.4736	6.2709	6.8704	6.4508	6.6863	6.4695	6.6671
221423_s_at	YIPF5	8.1674	8.0153	7.7571	8.2184	7.9941	7.7781	7.6595	7.7636
212340_at	YIPF6	7.4538	7.0224	7.4713	6.8570	7.5010	7.1841	7.2188	7.7459
212341_at	YIPF6	8.9036	7.9022	8.4555	8.0641	8.6613	8.9441	8.7504	9.0858
212342_at	YIPF6	8.5551	8.2685	8.1562	7.9600	8.4756	8.7395	8.5133	8.8067
212343_at	YIPF6	6.4585	6.7230	6.5150	6.0911	6.5364	6.5719	6.6302	6.8924
217785_s_at	YKT6	9.2236	9.2089	8.7974	8.3873	9.0906	8.0265	8.7501	8.2517
212787_at	YLPM1	8.2229	8.7851	8.5769	9.0496	8.6739	8.7439	8.6040	7.8531
214659_x_at	YLPM1	8.1878	9.1886	8.7000	8.5786	8.3079	8.5388	8.6226	7.8700
214713_at	YLPM1	5.2596	5.5143	5.1928	5.4008	5.3956	5.2702	5.6604	5.7332
201352_at	YME1L1	9.2846	9.1026	9.6343	9.2467	9.8148	9.2757	9.5801	9.3371
216304_x_at	YME1L1	9.8660	10.0376	10.2991	9.8603	9.9536	10.1897	9.7432	9.6087
215150_at	YOD1	6.1626	5.9525	6.0575	6.1617	6.0579	6.7114	6.0357	6.6820
